actual_value_1,predicted_value_1,actual_value_2,predicted_value_2
2.0,1,77.0,101.271324
2.0,1,81.0,104.09615
3.0,3,95.0,95.78366
2.0,3,115.0,96.66979
3.0,3,77.0,93.09759
3.0,1,67.0,97.77105
1.0,1,13.0,97.24536
1.0,1,12.0,94.955124
1.0,1,10.0,88.41693
1.0,1,195.0,82.725716
1.0,1,238.0,82.80752
1.0,1,293.0,88.14271
1.0,1,384.0,87.02717
1.0,1,381.0,89.46125
1.0,1,296.0,86.28434
1.0,1,38.0,93.97772
1.0,1,19.0,92.86303
1.0,1,22.0,87.624886
1.0,1,20.0,92.73452
1.0,1,14.0,94.04885
0.0,1,23.0,84.87832
0.0,1,19.0,88.88947
0.0,1,22.0,92.21728
1.0,1,33.0,90.691414
1.0,1,42.0,93.557625
1.0,1,40.0,96.063545
0.0,1,43.0,97.49008
3.0,3,56.0,92.01206
3.0,3,57.0,91.99598
2.0,3,153.0,96.11712
2.0,2,108.0,96.08192
2.0,2,89.0,96.781166
2.0,2,87.0,91.547356
2.0,2,95.0,90.96047
3.0,3,111.0,84.94813
2.0,2,112.0,90.11712
2.0,2,145.0,96.64359
2.0,2,184.0,94.98683
2.0,2,178.0,91.61061
2.0,2,170.0,92.138405
2.0,2,161.0,92.13385
2.0,2,133.0,93.457825
2.0,2,114.0,93.40147
3.0,3,112.0,89.20229
3.0,3,114.0,91.155525
2.0,3,130.0,90.69695
3.0,3,133.0,87.80664
3.0,3,143.0,91.02455
3.0,3,137.0,91.00066
1.0,3,143.0,89.39254
1.0,2,145.0,90.66737
3.0,3,185.0,87.66027
3.0,2,198.0,90.47515
2.0,2,205.0,91.45465
2.0,2,195.0,91.66032
2.0,2,203.0,91.9068
2.0,2,209.0,92.34778
3.0,3,202.0,86.84067
1.0,1,28.0,87.883995
1.0,1,26.0,96.61256
1.0,1,22.0,95.56623
1.0,1,24.0,93.24269
1.0,1,16.0,94.47992
1.0,1,16.0,94.27526
1.0,1,17.0,92.037254
1.0,1,7.0,94.74201
1.0,1,9.0,98.17681
1.0,1,10.0,99.66239
1.0,1,8.0,101.566765
1.0,1,7.0,100.37739
1.0,1,10.0,105.34223
1.0,1,11.0,100.32287
1.0,1,11.0,96.80248
1.0,1,10.0,98.3018
1.0,1,7.0,99.91817
1.0,1,9.0,101.77341
1.0,1,14.0,102.35943
1.0,1,13.0,101.13256
1.0,1,14.0,100.2459
1.0,1,9.0,98.544
1.0,1,14.0,95.902855
1.0,1,9.0,94.11945
1.0,1,8.0,94.69514
1.0,1,10.0,95.07685
1.0,1,8.0,94.91537
1.0,1,9.0,93.285545
1.0,1,11.0,91.56226
1.0,1,11.0,91.27968
1.0,1,10.0,92.064804
1.0,1,15.0,92.7855
1.0,1,13.0,92.98634
1.0,1,16.0,93.38267
1.0,1,13.0,94.17327
1.0,1,18.0,95.66407
1.0,1,18.0,97.295006
0.0,0,22.0,98.31408
0.0,1,23.0,101.12455
1.0,1,24.0,98.823166
1.0,1,24.0,102.39457
3.0,3,23.0,97.50618
1.0,1,23.0,92.06586
3.0,1,42.0,93.1453
2.0,2,54.0,90.81069
2.0,2,48.0,92.47088
2.0,2,66.0,94.1164
2.0,1,56.0,91.39568
2.0,2,67.0,96.29343
2.0,2,95.0,97.39666
2.0,2,111.0,100.05697
3.0,3,112.0,96.60675
0.0,3,113.0,95.16771
2.0,2,127.0,95.97968
0.0,3,137.0,87.84081
1.0,3,164.0,88.45272
1.0,1,190.0,91.79015
1.0,1,175.0,96.25652
1.0,1,142.0,101.25454
1.0,1,107.0,101.80399
1.0,1,101.0,101.550446
1.0,1,100.0,98.869
3.0,3,97.0,91.92555
1.0,1,101.0,95.62177
1.0,1,105.0,97.36208
3.0,3,117.0,91.235085
2.0,3,119.0,92.07049
3.0,3,115.0,88.47372
3.0,2,125.0,88.790535
3.0,2,184.0,93.77218
2.0,2,210.0,92.935715
2.0,2,213.0,97.7207
2.0,2,237.0,100.39151
0.0,2,258.0,97.66933
2.0,2,264.0,95.80708
2.0,2,324.0,96.03772
1.0,3,344.0,93.072845
3.0,3,356.0,88.19176
3.0,3,366.0,92.55851
1.0,3,350.0,94.05563
3.0,3,321.0,92.29121
1.0,3,294.0,95.244835
1.0,1,239.0,99.66738
1.0,1,219.0,101.1362
3.0,3,221.0,93.75721
3.0,3,245.0,93.51849
1.0,3,311.0,94.75707
3.0,3,240.0,91.06523
0.0,3,235.0,89.4676
3.0,3,232.0,84.23606
3.0,2,238.0,86.02963
3.0,2,243.0,88.37001
0.0,3,282.0,85.15743
3.0,2,310.0,85.436325
3.0,0,295.0,87.24728
1.0,3,301.0,88.838036
0.0,3,325.0,92.23594
1.0,3,319.0,93.382645
1.0,1,335.0,96.28326
1.0,1,301.0,98.359
1.0,1,312.0,99.89152
1.0,1,316.0,101.55059
1.0,1,296.0,101.675766
1.0,1,270.0,102.824844
1.0,1,252.0,101.44915
1.0,1,234.0,100.89235
3.0,3,233.0,99.54321
3.0,3,241.0,102.071106
1.0,3,231.0,101.85679
1.0,1,214.0,102.60189
1.0,1,210.0,104.87807
1.0,1,178.0,103.14081
1.0,1,142.0,101.69965
0.0,1,122.0,99.49328
0.0,1,59.0,101.14498
0.0,1,47.0,100.47075
0.0,1,40.0,96.3881
0.0,1,32.0,90.98049
0.0,1,48.0,87.16836
0.0,1,32.0,91.30964
1.0,2,25.0,96.165
0.0,2,26.0,92.541405
1.0,2,43.0,94.86911
0.0,2,54.0,94.57587
1.0,2,55.0,92.16085
3.0,3,53.0,88.62672
3.0,3,60.0,91.167854
1.0,3,55.0,91.33155
1.0,2,42.0,92.14546
1.0,1,36.0,94.155464
1.0,1,32.0,95.54323
1.0,1,14.0,94.68145
1.0,1,15.0,90.9206
0.0,2,18.0,99.77092
0.0,2,14.0,96.82078
0.0,1,15.0,96.52076
0.0,1,15.0,91.49332
0.0,1,14.0,89.707466
0.0,1,19.0,88.40486
0.0,1,17.0,87.6957
2.0,3,16.0,87.80127
3.0,3,14.0,87.28331
1.0,3,33.0,87.5625
1.0,3,45.0,91.72394
2.0,3,55.0,88.07543
2.0,2,71.0,87.50899
2.0,2,59.0,86.55134
2.0,2,42.0,87.20864
2.0,2,31.0,89.79218
3.0,3,30.0,91.87329
2.0,3,39.0,98.7362
2.0,3,23.0,100.86294
2.0,2,26.0,101.37645
2.0,2,25.0,98.685585
2.0,2,26.0,93.02479
2.0,2,24.0,94.33901
2.0,2,29.0,96.84527
2.0,2,28.0,97.62437
2.0,2,35.0,97.373344
2.0,2,35.0,96.96854
2.0,2,38.0,94.8504
2.0,2,49.0,95.04891
2.0,2,65.0,98.3491
2.0,2,72.0,95.091194
2.0,2,74.0,93.11462
3.0,3,80.0,89.08502
2.0,2,88.0,93.43437
2.0,2,106.0,94.81157
2.0,2,113.0,96.24204
2.0,2,139.0,93.063286
2.0,2,119.0,92.52907
2.0,2,122.0,92.84982
3.0,3,116.0,90.14069
0.0,3,132.0,93.64702
3.0,3,120.0,90.45489
1.0,1,111.0,92.50653
1.0,1,108.0,95.53444
1.0,1,110.0,97.24809
1.0,1,119.0,100.880226
1.0,1,125.0,100.012726
1.0,1,143.0,95.93112
1.0,1,149.0,95.352776
1.0,1,133.0,96.32995
1.0,1,136.0,93.697334
1.0,1,149.0,93.83709
1.0,1,161.0,94.14175
1.0,1,167.0,90.726555
1.0,1,167.0,89.54226
3.0,3,53.0,83.36388
1.0,1,19.0,88.090416
1.0,1,32.0,92.815544
1.0,1,15.0,94.52303
1.0,1,11.0,97.80998
1.0,1,10.0,95.38659
0.0,2,11.0,101.409966
0.0,2,11.0,102.14218
1.0,2,9.0,103.38682
1.0,2,19.0,103.82284
1.0,2,13.0,101.7985
1.0,1,13.0,97.165794
3.0,3,14.0,88.26574
0.0,1,17.0,92.54134
2.0,1,16.0,92.04626
3.0,3,18.0,88.46275
3.0,1,31.0,89.26914
2.0,1,23.0,90.57625
2.0,1,15.0,94.30378
2.0,2,57.0,99.61288
2.0,2,65.0,97.25642
2.0,2,64.0,96.057
2.0,2,65.0,95.16236
2.0,2,64.0,96.81698
2.0,2,81.0,97.21531
2.0,2,75.0,99.23214
2.0,2,70.0,96.29134
2.0,2,71.0,95.01264
2.0,2,83.0,96.26006
2.0,2,74.0,94.6753
2.0,2,86.0,94.99949
2.0,2,75.0,95.708534
0.0,2,72.0,89.15165
2.0,2,74.0,89.21084
3.0,3,76.0,85.26142
3.0,2,84.0,86.06195
0.0,3,81.0,84.760796
3.0,3,86.0,86.3085
0.0,3,84.0,87.82326
2.0,3,88.0,90.66834
3.0,3,91.0,89.73904
2.0,3,102.0,90.11848
2.0,2,121.0,92.2251
0.0,3,132.0,91.8415
2.0,3,163.0,92.06911
3.0,3,175.0,89.45723
3.0,2,190.0,90.684906
3.0,2,203.0,91.493004
3.0,2,205.0,89.29366
0.0,3,217.0,84.53652
0.0,3,241.0,86.65007
1.0,3,226.0,89.4813
1.0,1,225.0,94.1306
1.0,1,205.0,97.42521
3.0,3,213.0,95.59316
3.0,3,229.0,97.81462
3.0,1,217.0,100.126076
2.0,1,218.0,100.404045
3.0,3,128.0,100.51492
1.0,1,88.0,105.14305
1.0,1,20.0,104.50938
1.0,1,16.0,103.270744
1.0,1,6.0,101.3924
1.0,1,12.0,96.502174
3.0,3,20.0,90.572845
0.0,0,26.0,92.21424
0.0,0,16.0,92.21119
0.0,0,16.0,90.02503
2.0,0,16.0,89.01615
2.0,0,12.0,93.25603
2.0,2,17.0,96.680534
2.0,2,17.0,99.70019
2.0,2,25.0,99.21412
2.0,2,39.0,96.80278
2.0,2,54.0,95.618675
2.0,2,123.0,95.25147
2.0,2,142.0,100.39588
2.0,2,157.0,107.79038
2.0,2,190.0,111.18772
2.0,2,137.0,113.939705
2.0,2,469.0,113.955345
2.0,2,344.0,118.631744
2.0,2,281.0,116.61955
3.0,3,209.0,103.17315
0.0,3,150.0,100.97438
1.0,3,138.0,95.56097
1.0,3,133.0,94.737114
1.0,1,130.0,92.18893
1.0,1,143.0,91.10448
1.0,1,103.0,92.06184
1.0,1,81.0,93.631966
3.0,3,70.0,92.65778
1.0,3,81.0,97.876564
3.0,3,117.0,97.27762
2.0,3,130.0,98.195
2.0,2,146.0,100.007545
3.0,3,144.0,98.04719
3.0,2,147.0,96.95077
3.0,2,140.0,95.27203
3.0,2,148.0,96.09944
3.0,1,155.0,97.77484
3.0,1,167.0,96.87472
3.0,1,180.0,94.50747
0.0,3,183.0,87.40769
3.0,3,181.0,88.97534
1.0,3,172.0,91.64506
1.0,1,167.0,93.498245
1.0,1,171.0,93.8424
1.0,1,179.0,93.854805
1.0,1,175.0,94.37463
1.0,1,190.0,93.88284
1.0,1,189.0,94.05311
1.0,1,187.0,93.756355
1.0,1,178.0,94.57591
0.0,3,184.0,90.71765
3.0,3,152.0,97.00123
3.0,3,124.0,99.72378
2.0,3,163.0,98.87803
2.0,2,143.0,98.1444
2.0,2,127.0,96.4197
2.0,2,109.0,95.84797
2.0,2,120.0,94.881454
2.0,2,135.0,94.86765
2.0,2,118.0,96.82191
2.0,2,132.0,96.69485
2.0,2,141.0,93.63189
2.0,2,144.0,89.545586
2.0,2,141.0,92.83975
2.0,2,144.0,92.831665
2.0,2,159.0,91.55126
2.0,2,163.0,90.2477
2.0,2,174.0,89.52927
3.0,3,164.0,88.59446
1.0,3,171.0,93.12619
1.0,1,162.0,92.67904
1.0,1,152.0,91.28805
1.0,1,141.0,93.39013
1.0,1,66.0,95.76918
1.0,1,22.0,97.033264
1.0,1,15.0,93.90035
1.0,1,13.0,92.2467
1.0,1,13.0,90.112465
1.0,1,12.0,91.24842
1.0,1,13.0,89.74267
1.0,1,10.0,90.56152
1.0,1,9.0,94.792885
0.0,0,8.0,89.39385
0.0,1,9.0,93.6887
0.0,0,7.0,92.10225
0.0,0,9.0,90.8115
0.0,0,8.0,90.75002
0.0,0,10.0,91.16364
0.0,0,8.0,94.647545
0.0,0,10.0,95.35049
3.0,0,9.0,98.05216
1.0,1,6.0,101.361176
1.0,1,6.0,102.05268
1.0,1,7.0,99.356415
1.0,1,5.0,100.059
1.0,1,6.0,107.12571
1.0,1,6.0,107.36576
1.0,1,4.0,104.44367
1.0,1,4.0,98.0104
1.0,1,6.0,97.6968
1.0,1,6.0,98.963104
1.0,1,6.0,97.20756
1.0,1,4.0,95.47425
1.0,1,6.0,98.82151
1.0,1,6.0,98.3902
1.0,1,6.0,94.00659
1.0,1,6.0,90.03592
1.0,1,11.0,88.185974
0.0,0,11.0,91.531586
0.0,0,13.0,88.2606
1.0,1,16.0,90.728035
1.0,1,3.0,90.34699
1.0,1,7.0,90.54981
1.0,1,6.0,85.685196
1.0,1,6.0,85.22332
1.0,1,6.0,85.315285
1.0,1,6.0,86.84838
1.0,1,7.0,86.46488
1.0,1,10.0,86.88871
1.0,1,10.0,88.075615
1.0,1,9.0,87.80013
1.0,1,12.0,93.03826
1.0,1,12.0,92.24712
1.0,1,11.0,91.41214
1.0,1,10.0,91.18508
1.0,1,6.0,98.78631
1.0,1,8.0,96.28103
2.0,2,7.0,93.51551
2.0,2,18.0,91.200935
0.0,3,17.0,89.6433
2.0,3,50.0,92.40569
2.0,3,71.0,94.08448
2.0,3,91.0,95.276146
2.0,3,109.0,98.83753
0.0,3,126.0,97.41371
2.0,3,104.0,102.183784
2.0,3,80.0,105.253494
3.0,3,69.0,98.89419
2.0,1,62.0,99.53945
3.0,3,73.0,98.45448
3.0,1,115.0,97.8086
3.0,1,155.0,94.91347
0.0,3,148.0,93.62441
0.0,1,114.0,99.05058
3.0,3,94.0,100.00269
3.0,2,117.0,100.58491
3.0,2,118.0,102.692345
3.0,2,116.0,103.61089
3.0,2,96.0,104.80425
2.0,2,96.0,103.78346
2.0,2,102.0,104.51287
2.0,2,99.0,104.248436
2.0,2,104.0,101.74323
2.0,2,101.0,98.6997
2.0,2,92.0,94.78524
2.0,2,76.0,95.27141
2.0,2,90.0,94.9018
2.0,2,111.0,91.765755
0.0,0,125.0,86.692375
0.0,2,139.0,88.33385
3.0,3,151.0,80.47589
2.0,3,204.0,82.68359
3.0,3,203.0,83.96697
1.0,1,200.0,87.165054
1.0,1,187.0,92.13092
3.0,3,168.0,90.19599
3.0,3,158.0,93.412285
0.0,3,155.0,93.10965
1.0,3,154.0,93.807434
1.0,3,146.0,95.91327
1.0,3,150.0,95.66201
3.0,3,136.0,91.45616
3.0,3,130.0,93.537315
3.0,2,122.0,93.40699
3.0,2,125.0,93.488594
2.0,2,121.0,94.149826
2.0,2,108.0,95.42472
3.0,3,102.0,92.31776
3.0,2,118.0,93.862335
2.0,3,130.0,93.18826
2.0,2,155.0,94.89235
2.0,2,131.0,95.764046
2.0,2,93.0,95.377716
2.0,2,91.0,92.89251
2.0,2,86.0,90.49283
2.0,2,101.0,90.083244
2.0,2,105.0,90.529945
2.0,2,110.0,91.22319
2.0,1,112.0,91.21467
2.0,1,119.0,91.04339
2.0,2,100.0,93.047295
2.0,2,105.0,94.07166
2.0,2,105.0,93.38043
2.0,2,112.0,94.17185
2.0,2,107.0,95.57075
2.0,2,94.0,96.307365
2.0,2,84.0,96.09963
2.0,2,89.0,95.45507
2.0,2,90.0,93.83822
2.0,2,98.0,91.89997
2.0,2,100.0,89.80418
2.0,2,109.0,88.625916
2.0,2,107.0,88.309456
2.0,2,107.0,88.661674
2.0,2,106.0,88.238976
2.0,2,108.0,87.3823
2.0,2,109.0,86.934715
2.0,2,106.0,87.14736
2.0,2,95.0,87.32259
2.0,2,94.0,87.7105
2.0,2,88.0,87.807945
3.0,3,115.0,92.125435
3.0,2,133.0,95.379745
0.0,2,132.0,97.245316
0.0,2,147.0,97.35477
1.0,2,147.0,95.47343
1.0,1,146.0,93.38113
0.0,3,79.0,90.80077
1.0,1,38.0,94.88781
1.0,1,20.0,99.69826
0.0,1,14.0,100.07145
1.0,1,10.0,100.26293
0.0,1,6.0,97.90862
1.0,1,9.0,98.48843
1.0,1,7.0,99.24267
1.0,1,10.0,95.87771
1.0,1,8.0,97.91946
1.0,1,7.0,100.66825
1.0,1,14.0,106.11288
1.0,1,10.0,99.699486
1.0,1,6.0,99.62757
1.0,1,9.0,96.73539
1.0,1,13.0,93.2997
1.0,1,9.0,92.62767
1.0,1,10.0,92.486
1.0,1,9.0,94.08839
1.0,1,10.0,93.79801
1.0,1,10.0,90.04589
1.0,1,11.0,87.05241
1.0,1,12.0,84.15713
1.0,1,16.0,80.46363
1.0,1,12.0,79.910805
1.0,1,17.0,79.22704
1.0,1,14.0,77.87
1.0,1,14.0,76.27775
1.0,1,12.0,74.866646
1.0,1,14.0,73.824844
3.0,3,10.0,82.97146
1.0,2,11.0,87.79878
1.0,2,11.0,89.10363
1.0,2,14.0,86.39863
1.0,1,15.0,84.35129
1.0,1,26.0,85.695816
1.0,1,24.0,89.48916
1.0,1,18.0,91.24204
1.0,1,11.0,92.12636
1.0,1,12.0,92.3549
1.0,1,9.0,92.72158
1.0,1,9.0,92.587204
1.0,1,13.0,91.48406
1.0,1,9.0,98.31471
0.0,0,8.0,92.65772
1.0,1,7.0,94.01391
1.0,1,13.0,89.715324
0.0,1,13.0,90.446556
0.0,1,22.0,92.71877
1.0,1,10.0,91.36576
1.0,1,18.0,92.44899
2.0,3,20.0,90.847
2.0,2,20.0,95.450134
2.0,2,26.0,98.92744
2.0,2,24.0,101.05628
2.0,2,25.0,100.22181
2.0,2,34.0,99.50335
2.0,2,42.0,102.30309
2.0,2,47.0,102.21093
3.0,3,53.0,96.205124
3.0,2,64.0,98.450584
2.0,2,65.0,95.95873
3.0,3,66.0,91.581406
2.0,3,76.0,90.26374
0.0,3,83.0,90.769455
3.0,3,120.0,92.56864
3.0,1,121.0,97.89992
1.0,1,111.0,101.505325
1.0,1,112.0,103.149345
1.0,1,100.0,101.73147
1.0,1,84.0,101.16262
1.0,1,66.0,100.80799
1.0,1,64.0,103.91798
3.0,3,73.0,94.460014
3.0,3,90.0,96.71438
2.0,3,103.0,95.41259
3.0,3,126.0,94.123955
2.0,2,146.0,91.7436
2.0,2,143.0,92.112404
2.0,2,135.0,92.480095
2.0,2,188.0,94.3829
2.0,2,221.0,95.33346
3.0,3,203.0,92.05209
3.0,2,204.0,97.37984
0.0,3,184.0,94.21822
3.0,3,177.0,89.90098
0.0,3,220.0,87.50042
0.0,1,268.0,89.57514
1.0,1,255.0,93.30162
1.0,1,241.0,96.47259
1.0,1,181.0,99.16642
1.0,1,146.0,99.20597
1.0,1,141.0,95.206764
1.0,1,136.0,95.55631
1.0,1,124.0,95.10892
0.0,0,87.0,95.8396
0.0,1,66.0,102.58868
0.0,0,44.0,106.930466
0.0,0,36.0,104.305305
2.0,0,39.0,94.13261
2.0,0,55.0,93.39947
3.0,2,114.0,91.59875
2.0,2,100.0,93.93337
2.0,2,95.0,96.164696
2.0,2,162.0,95.740364
2.0,2,237.0,93.40299
2.0,2,229.0,92.57107
2.0,2,175.0,92.31713
2.0,2,150.0,93.13067
2.0,2,145.0,92.54841
2.0,2,268.0,90.36231
2.0,2,237.0,89.78805
2.0,2,208.0,92.11906
2.0,2,193.0,90.97466
2.0,2,175.0,90.766075
2.0,2,160.0,92.91362
2.0,2,176.0,92.79257
2.0,2,181.0,91.68464
2.0,2,185.0,91.04847
2.0,2,198.0,92.14701
2.0,2,205.0,92.19153
2.0,2,206.0,93.0183
2.0,2,214.0,92.64915
2.0,2,214.0,91.68072
2.0,2,204.0,90.55483
2.0,2,208.0,90.10004
2.0,2,200.0,90.44366
2.0,2,197.0,90.73516
2.0,2,220.0,90.768486
3.0,3,236.0,88.60851
0.0,0,239.0,92.462685
0.0,1,250.0,93.802345
0.0,1,243.0,93.48496
0.0,1,251.0,90.95502
0.0,1,263.0,90.472664
3.0,3,262.0,86.06058
0.0,3,261.0,87.94436
0.0,1,276.0,89.96006
2.0,3,264.0,89.19178
1.0,3,259.0,89.70164
1.0,1,250.0,94.0189
1.0,1,235.0,98.05138
3.0,3,222.0,97.87931
0.0,3,206.0,95.87728
3.0,3,205.0,94.92088
3.0,3,196.0,94.359856
3.0,3,218.0,94.63026
3.0,2,234.0,92.79982
3.0,2,264.0,90.41445
2.0,2,272.0,88.16709
3.0,3,307.0,87.9402
3.0,2,323.0,91.29547
3.0,2,311.0,90.993225
3.0,2,327.0,90.88265
2.0,3,362.0,89.99331
1.0,2,487.0,92.13849
0.0,3,436.0,91.90546
3.0,3,436.0,89.656555
1.0,3,579.0,90.618355
3.0,3,649.0,91.02656
1.0,1,457.0,91.97549
1.0,1,466.0,92.21288
1.0,1,408.0,92.42141
1.0,1,344.0,91.83019
1.0,1,322.0,91.68426
1.0,1,287.0,93.520775
0.0,3,319.0,90.01554
3.0,3,282.0,92.64884
1.0,3,277.0,94.344635
2.0,3,277.0,93.822205
2.0,3,279.0,94.599495
2.0,2,327.0,94.02806
2.0,2,348.0,94.09626
2.0,2,418.0,94.78345
3.0,3,423.0,92.42787
2.0,2,366.0,98.97617
3.0,3,338.0,99.372185
3.0,3,347.0,99.659195
3.0,3,336.0,101.015724
3.0,3,351.0,101.405815
3.0,3,353.0,100.23322
1.0,3,375.0,97.23581
1.0,3,382.0,96.72874
1.0,1,393.0,95.050026
1.0,1,388.0,94.625824
1.0,1,376.0,92.29258
1.0,1,382.0,89.438805
1.0,1,362.0,90.97425
1.0,1,345.0,91.09011
1.0,1,328.0,91.443596
1.0,1,323.0,91.820656
1.0,1,297.0,91.25938
1.0,1,280.0,94.317314
2.0,0,267.0,91.15453
3.0,3,259.0,91.742195
3.0,0,177.0,95.79531
2.0,0,161.0,93.44515
2.0,1,120.0,91.94356
2.0,2,185.0,93.410385
2.0,2,211.0,94.86199
2.0,2,169.0,91.954666
2.0,2,242.0,90.13439
2.0,2,247.0,89.04366
2.0,2,238.0,88.45272
2.0,2,225.0,86.2394
2.0,2,216.0,85.32136
3.0,3,165.0,83.85771
2.0,2,142.0,88.08765
2.0,2,136.0,89.93152
2.0,1,117.0,89.838844
3.0,3,119.0,87.106895
0.0,3,52.0,89.1146
1.0,1,46.0,91.8639
3.0,3,53.0,90.81211
2.0,3,67.0,90.61191
3.0,3,70.0,90.74683
2.0,1,61.0,96.053734
2.0,1,78.0,99.67362
2.0,1,88.0,99.9578
2.0,1,75.0,104.225334
2.0,1,73.0,98.93498
2.0,1,79.0,94.998085
2.0,1,67.0,91.19247
2.0,1,73.0,92.51545
2.0,1,71.0,88.964676
2.0,1,66.0,85.5207
2.0,1,66.0,85.816505
2.0,1,75.0,86.954155
2.0,1,59.0,88.850945
2.0,1,41.0,88.92722
2.0,1,45.0,86.971
2.0,1,28.0,86.5873
2.0,1,27.0,86.39303
3.0,3,27.0,79.870926
2.0,1,46.0,85.7694
2.0,1,65.0,90.48416
2.0,1,60.0,93.61411
2.0,1,54.0,94.5079
2.0,1,63.0,95.94933
2.0,1,71.0,95.80227
2.0,1,69.0,95.64784
2.0,1,76.0,95.58088
2.0,1,82.0,95.79143
2.0,1,63.0,95.155716
2.0,1,63.0,93.30418
2.0,2,63.0,90.97326
2.0,2,64.0,97.12649
2.0,2,88.0,96.46786
3.0,3,80.0,88.71328
2.0,3,89.0,90.06187
0.0,2,93.0,92.71457
2.0,2,104.0,91.79705
2.0,2,123.0,91.60614
0.0,3,118.0,90.90712
0.0,1,116.0,94.257225
2.0,3,125.0,92.50123
1.0,1,119.0,93.46622
3.0,3,120.0,92.60973
1.0,1,122.0,93.15534
3.0,3,122.0,90.600845
3.0,1,112.0,91.51922
1.0,1,108.0,93.07781
1.0,1,103.0,93.700066
1.0,1,89.0,98.884544
1.0,1,58.0,100.244865
0.0,0,38.0,96.88033
1.0,3,19.0,94.37131
3.0,3,22.0,86.923195
0.0,2,18.0,86.394684
2.0,2,14.0,90.07443
2.0,2,16.0,92.61141
2.0,2,15.0,94.42905
2.0,2,34.0,91.41711
2.0,2,39.0,89.669556
2.0,2,89.0,88.338585
2.0,2,124.0,86.82039
2.0,2,142.0,85.47793
2.0,2,152.0,85.25396
2.0,2,156.0,85.977394
2.0,2,152.0,87.56581
2.0,2,160.0,88.853165
2.0,2,173.0,89.81701
3.0,3,174.0,89.387505
2.0,3,180.0,92.91167
2.0,3,185.0,93.92564
2.0,3,184.0,94.44187
2.0,3,190.0,93.822014
2.0,2,196.0,93.88914
2.0,1,221.0,94.71273
2.0,1,233.0,96.07999
2.0,1,240.0,96.90559
2.0,2,273.0,98.268196
2.0,2,327.0,97.8294
2.0,2,347.0,97.0064
2.0,2,384.0,95.83765
2.0,2,392.0,99.92353
2.0,2,400.0,99.0928
0.0,3,394.0,95.160805
3.0,3,448.0,96.9462
2.0,3,424.0,101.1609
3.0,3,400.0,98.925224
3.0,3,398.0,99.97616
3.0,3,383.0,101.37235
3.0,3,357.0,103.819855
3.0,1,367.0,105.58787
2.0,3,335.0,103.32579
1.0,3,313.0,101.74967
3.0,3,328.0,99.89672
1.0,3,324.0,98.792885
1.0,2,305.0,99.55814
1.0,2,268.0,101.44539
1.0,2,247.0,100.961266
3.0,3,267.0,95.59801
1.0,3,334.0,98.93203
3.0,3,328.0,97.412315
0.0,2,327.0,97.7352
2.0,2,326.0,96.86248
3.0,3,309.0,94.45843
2.0,3,321.0,94.55833
3.0,3,340.0,94.95976
3.0,3,346.0,95.79629
0.0,3,330.0,94.54572
1.0,3,340.0,94.60519
3.0,3,353.0,90.46881
1.0,3,384.0,89.73232
1.0,3,383.0,90.983864
1.0,1,399.0,90.257706
1.0,1,340.0,91.89968
1.0,1,327.0,93.39532
